000000012326.jpg,"[['oven', 98.52455258369446, 963, 404, 1085, 567], ['microwave', 98.92475605010986, 1288, 1120, 450, 292], ['bowl', 61.15390658378601, 923, 785, 682, 612], ['bowl', 70.36451697349547, 1021, 921, 683, 641]]"
000000021801.jpg,"[['microwave', 99.12497401237488, 761, 309, 315, 83], ['refrigerator', 99.98716115951538, 1488, 937, 1019, 92], ['oven', 99.61575269699095, 787, 312, 890, 476], ['sink', 92.39513278007507, 1024, 171, 1079, 930], ['knife', 66.32393598556519, 815, 787, 420, 387], ['knife', 88.76561522483826, 840, 812, 422, 385], ['knife', 72.79384136199951, 864, 824, 431, 384], ['knife', 70.76555490493773, 840, 804, 441, 403], ['knife', 89.25926685333252, 841, 792, 481, 451]]"
000000022158.jpg,"[['microwave', 93.35480332374573, 1526, 1296, 565, 330], ['oven', 92.97673106193542, 1168, 968, 641, 341], ['refrigerator', 98.49337935447693, 992, 714, 817, 316], ['sink', 87.69732713699341, 742, 447, 559, 527]]"
000000022636.jpg,"[['microwave', 93.03320646286012, 262, 41, 465, 286], ['refrigerator', 66.84790253639221, 1536, 1260, 678, 246], ['bottle', 68.68516206741333, 998, 963, 440, 345], ['bottle', 88.52249383926392, 1139, 1101, 441, 337], ['bottle', 84.81132984161377, 1191, 1153, 441, 337], ['bottle', 68.12050938606261, 950, 911, 437, 358], ['bottle', 70.37261128425598, 489, 450, 610, 519], ['bottle', 80.74918389320374, 518, 485, 611, 512], ['bottle', 92.85821318626404, 548, 515, 608, 519], ['bottle', 87.67662644386292, 583, 552, 609, 520], ['bottle', 90.25099277496338, 703, 670, 610, 508], ['bottle', 77.36005783081055, 745, 714, 610, 507]]"
000000029377.jpg,"[['refrigerator', 99.05285835266113, 1425, 1010, 1040, 449], ['microwave', 99.84270930290222, 1354, 1071, 434, 258], ['oven', 96.79745435714722, 522, 157, 1061, 764], ['cup', 64.8465096950531, 501, 451, 779, 737]]"
000000033297.jpg,"[['refrigerator', 99.70167875289916, 1633, 1270, 1095, 252], ['diningtable', 99.24085140228271, 798, 48, 1060, 865], ['microwave', 84.81527566909791, 1224, 1082, 661, 544], ['chair', 82.1766197681427, 447, 190, 938, 780], ['chair', 95.74006199836731, 742, 630, 1039, 826], ['sink', 64.50436115264893, 1074, 886, 620, 586], ['bowl', 80.57639002799988, 477, 386, 911, 866], ['orange', 65.5464231967926, 371, 317, 961, 923]]"
000000034114.jpg,"[['microwave', 98.90999794006348, 1532, 1154, 1050, 746]]"
000000036091.jpg,"[['microwave', 99.8360514640808, 1315, 1120, 312, 203], ['refrigerator', 71.43128514289856, 575, 352, 666, 182], ['oven', 99.73565936088562, 1301, 1083, 636, 345], ['chair', 66.90176725387572, 587, 419, 826, 429], ['bottle', 74.57231879234314, 837, 815, 369, 314], ['knife', 90.7353162765503, 1574, 1559, 365, 341], ['knife', 60.21603345870972, 1573, 1561, 373, 356], ['bowl', 69.01538372039795, 1477, 1418, 398, 373], ['chair', 65.39602279663086, 786, 687, 446, 384], ['chair', 78.85673642158507, 676, 558, 471, 397]]"
000000036567.jpg,"[['refrigerator', 99.94865655899048, 663, 326, 1005, 253], ['microwave', 97.76800870895386, 1257, 956, 378, 221], ['oven', 99.66673851013184, 1238, 927, 867, 500], ['sink', 68.71617436408997, 1457, 1304, 642, 582]]"
000000039698.jpg,"[['microwave', 95.00631093978882, 856, 606, 281, 182], ['pottedplant', 92.21940040588379, 1199, 1076, 472, 294], ['oven', 99.17749166488649, 897, 581, 800, 387], ['sink', 97.21125960350037, 1282, 1056, 528, 480]]"
